Ubigeo,DEPARTAMENTO,Distrito,numero de victimizacion,poblacion2016,victimas en su distrito,victimas en su barrio ,vigilancia zona ,vigilanca policia nacional,presencia de policia nacional ,confianza segurirdad municipal,confianza en poder judicial,confianza en ministerio publico
10101,AMAZONAS,CHACHAPOYAS,4313,28937,867,401,4228,1596,1306,4229,4115,4121
10109,AMAZONAS,LA JALCA,213,5503,25,9,213,60,69,209,191,195
10201,AMAZONAS,BAGUA,2114,26005,432,175,2078,583,613,2067,1968,1973
10202,AMAZONAS,ARAMANGO,246,10969,34,18,245,114,56,243,227,227
10205,AMAZONAS,IMAZA,123,24201,26,13,123,32,46,122,112,112
10206,AMAZONAS,LA PECA,111,8019,12,12,108,34,77,109,95,100
10306,AMAZONAS,FLORIDA,179,8576,33,23,177,57,66,179,171,173
10307,AMAZONAS,JAZAN,619,9297,110,48,609,169,204,599,549,555
10312,AMAZONAS,YAMBRASBAMBA,165,8385,23,4,163,58,43,160,154,156
10401,AMAZONAS,NIEVA,183,28959,29,18,181,11,99,182,174,174
10403,AMAZONAS,R÷O SANTIAGO,187,16830,14,8,187,-,121,178,167,168
10501,AMAZONAS,LAMUD,262,2292,41,13,254,53,86,244,234,231
10502,AMAZONAS,CAMPORREDONDO,304,7088,42,17,304,29,120,291,264,261
10509,AMAZONAS,LUYA,108,4408,20,2,106,40,9,103,97,98
10601,AMAZONAS,SAN NICOLµS,334,5254,68,28,330,101,100,330,306,313
10701,AMAZONAS,BAGUA GRANDE,2623,53745,531,220,2591,917,701,2576,2388,2412
10702,AMAZONAS,CAJARURO,698,28419,98,37,696,98,224,686,637,643
10703,AMAZONAS,CUMBA,346,8771,55,31,344,65,129,335,314,313
10706,AMAZONAS,LONYA GRANDE,361,10401,55,23,357,55,148,353,341,333
20101,µNCASH,HUARAZ,3292,64735,1275,610,3253,496,1177,3215,3080,3075
20105,µNCASH,INDEPENDENCIA,3119,74383,1186,536,3071,355,1108,3042,2907,2888
20501,µNCASH,CHIQUIµN,134,3605,39,15,132,39,34,129,120,120
20508,µNCASH,HUALLANCA,135,8255,30,20,134,24,53,133,130,129
20601,µNCASH,CARHUAZ,160,15504,47,15,159,23,35,153,141,138
20701,µNCASH,SAN LUIS,33,12596,5,5,33,-,33,26,25,25
20801,µNCASH,CASMA,388,33158,126,23,384,110,76,384,369,368
20804,µNCASH,YAUTAN,173,8437,39,16,170,72,40,164,155,155
21001,µNCASH,HUARI,117,10328,36,15,116,13,47,111,104,105
